Frequency (Hz),Trace 2 (dBV),Phase (deg),Trace 3 (dBV),Phase (deg),Trace 4 (dBV),Phase (deg)
30.22664665098428,-79.31883620066381,96.67473980562775,-68.25230627611981,20.42848202359851,-70.87489174860565,160.0626269711417
31.73797898353349,-77.55340110390627,5.628569310946188,-73.60618562748664,171.4780204523114,-80.7608226909921,67.20619398567148
33.2493113160827,-73.87753993143602,157.9391579166171,-64.49529908464419,174.6977791030691,-68.73130396796638,15.03058898444087
34.76064364863192,-73.01762371379895,144.9115191845139,-67.51367194395496,98.44983904502682,-73.97757405112935,20.05655618737426
36.27197598118113,-84.93059835619465,9.504825363662194,-62.08306683128093,83.16750583203725,-79.65074524022819,108.4417254129975
37.78330831373034,-76.4128797753494,157.209828436238,-62.10755661152355,68.55292435658059,-76.64524304611861,77.82845757660189
39.29464064627956,-68.92739644778258,12.88427290232098,-61.8520099319412,90.03722583085943,-73.15188448491136,2.980467777479322
40.80597297882878,-72.62717361305126,41.91446776222485,-66.92663067004021,174.8497371444336,-77.73336745720512,78.5328675338265
42.31730531137799,-69.25155527080892,141.6831922797369,-65.79858288890107,171.4058824350357,-69.76981096796575,160.5109059886861
43.8286376439272,-70.29181060208258,132.4252710016897,-71.12265387009529,48.06646989704375,-77.94167631862314,145.9635772751573
45.33996997647642,-75.56408911592663,106.0705772375848,-66.5760716243079,125.6260929983075,-80.82763666669621,169.9339413629749
46.85130230902563,-72.5348081508856,106.4574830808643,-65.84375266266265,161.9684621253581,-74.33934083192565,178.5144112501361
48.36263464157484,-78.57526112253024,2.575971502237202,-67.77984595240059,29.91483806816043,-70.81702257288354,121.003156658584
49.87396697412406,-71.39355235335165,118.6996020565132,-63.37155405240765,163.6846900743711,-77.83742202748159,41.47131356759614
51.38529930667327,-67.76873996988924,178.9596156462538,-68.80111333592153,139.0311572533896,-73.1264888643575,123.5275119183178
52.89663163922248,-87.43166481864138,126.1991391885964,-68.45560232112832,8.09961921514371,-75.48101121835745,130.8826057278671
54.4079639717717,-66.32725809627651,104.1897020699594,-60.78476481479942,88.35977589247995,-79.16602613363645,103.3928435434957
55.91929630432091,-73.80737692767704,45.11192532315657,-60.82780086257581,34.89961970576125,-75.15019721428082,177.4145130687654
57.43062863687013,-62.21266425224472,25.23101633072326,-59.82152609061266,101.3281526762593,-80.30032760309717,129.0537700858893
58.94196096941934,-71.33590655918772,39.02328308724626,-50.8200839610851,66.62724945786105,-61.61511916921946,135.6786398150242
60.45329330196856,-71.5450837883936,120.2336410540562,-69.9935181683318,53.30770397901223,-67.06739708547487,112.7834369409795
61.96462563451777,-59.96304715778851,174.9367706228126,-63.79527168608148,61.48297737518425,-78.75621072846019,68.31037848583563
63.47595796706698,-69.9955792098658,159.6160373380821,-53.24404965745843,125.2396950213874,-62.83216910204607,36.13902528009649
